epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,4494.28,0.5549,0.33578,0.96791,0.95163,0.95308,0.96011,0.80275,0.55443,0.31937,0.9621,0.000956898,0.000956898,0.000956898
110,4530.31,0.5734,0.34337,0.97651,0.94942,0.96314,0.9531,0.80742,0.54383,0.31175,0.953,0.000950323,0.000950323,0.000950323
111,4566.48,0.58644,0.34733,0.97891,0.95821,0.95429,0.96205,0.81376,0.56237,0.31668,0.97629,0.000943748,0.000943748,0.000943748
112,4602.67,0.56728,0.33389,0.96954,0.95702,0.96385,0.964,0.81178,0.54914,0.30768,0.95151,0.000937173,0.000937173,0.000937173
113,4638.71,0.55489,0.32825,0.95788,0.9725,0.93484,0.96868,0.81305,0.5572,0.32308,0.95867,0.000930598,0.000930598,0.000930598
114,4674.96,0.56238,0.33888,0.96888,0.95077,0.96036,0.96987,0.82454,0.54509,0.30797,0.94704,0.000924023,0.000924023,0.000924023
115,4711.29,0.55909,0.33312,0.96305,0.95253,0.95839,0.96464,0.82016,0.55822,0.31408,0.95896,0.000917448,0.000917448,0.000917448
116,4747.49,0.55653,0.33119,0.9629,0.95522,0.95733,0.9691,0.81892,0.55492,0.31054,0.94878,0.000910873,0.000910873,0.000910873
117,4783.8,0.55701,0.334,0.9615,0.95279,0.95561,0.96227,0.81429,0.54434,0.30293,0.93497,0.000904298,0.000904298,0.000904298
118,4820.18,0.55059,0.32831,0.95265,0.96845,0.95587,0.96566,0.82517,0.54931,0.31833,0.94758,0.000897723,0.000897723,0.000897723
119,5092.79,0.5675,0.33221,0.95531,0.94578,0.94923,0.96482,0.82736,0.53787,0.30016,0.94844,0.000891148,0.000891148,0.000891148
120,5129.13,0.55263,0.32475,0.96044,0.95797,0.94129,0.96445,0.81663,0.53971,0.29077,0.94932,0.000884573,0.000884573,0.000884573
121,5165.52,0.54393,0.3206,0.96378,0.95569,0.95339,0.96395,0.8166,0.53507,0.30478,0.94848,0.000877998,0.000877998,0.000877998
122,5201.78,0.54671,0.32109,0.95183,0.95201,0.94791,0.96063,0.80955,0.54002,0.30843,0.9492,0.000871423,0.000871423,0.000871423
123,5238.31,0.54742,0.32856,0.95147,0.96026,0.94635,0.96322,0.81641,0.52547,0.30412,0.93067,0.000864848,0.000864848,0.000864848
124,5274.66,0.54089,0.32139,0.9537,0.95377,0.95678,0.96434,0.81673,0.53002,0.29967,0.93229,0.000858273,0.000858273,0.000858273
125,5310.98,0.55625,0.32704,0.9626,0.94085,0.96942,0.96791,0.82227,0.54418,0.30561,0.95219,0.000851698,0.000851698,0.000851698
126,5347.47,0.5347,0.3204,0.94921,0.95601,0.96711,0.9655,0.82366,0.5304,0.28922,0.92935,0.000845123,0.000845123,0.000845123
127,5383.59,0.5362,0.31598,0.94799,0.96531,0.96186,0.96073,0.82323,0.52946,0.28921,0.93045,0.000838547,0.000838547,0.000838547
128,5418.18,0.53624,0.31714,0.95135,0.93228,0.97008,0.96681,0.82671,0.53177,0.29264,0.93972,0.000831972,0.000831972,0.000831972
129,5452.83,0.5401,0.324,0.96378,0.94858,0.96513,0.96867,0.82991,0.53317,0.31826,0.94153,0.000825397,0.000825397,0.000825397
130,5487.6,0.54708,0.32313,0.96293,0.94661,0.94866,0.95766,0.82053,0.52864,0.29275,0.93674,0.000818822,0.000818822,0.000818822
131,5522.18,0.54233,0.32083,0.95373,0.94138,0.95262,0.95484,0.8151,0.53034,0.30032,0.93911,0.000812247,0.000812247,0.000812247
132,5556.91,0.52178,0.31341,0.94205,0.94992,0.9452,0.96525,0.8292,0.52074,0.29386,0.93903,0.000805672,0.000805672,0.000805672
133,5591.49,0.53189,0.31903,0.95799,0.9534,0.96879,0.96751,0.82948,0.51921,0.28792,0.93829,0.000799097,0.000799097,0.000799097
134,5626.3,0.5237,0.31195,0.95535,0.95161,0.97348,0.96217,0.82509,0.52655,0.28931,0.94301,0.000792522,0.000792522,0.000792522
