epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2821.07,1.22284,0.74188,1.25699,0.92118,0.85277,0.91889,0.55888,1.40073,0.69521,1.42553,0.00113227,0.00113227,0.00113227
112,2846.09,1.222,0.74382,1.24771,0.91681,0.86367,0.92411,0.57356,1.34447,0.66987,1.38263,0.00112438,0.00112438,0.00112438
113,2870.94,1.22649,0.73689,1.26638,0.93209,0.85783,0.92529,0.57269,1.35475,0.67202,1.39273,0.00111649,0.00111649,0.00111649
114,2895.13,1.21262,0.72562,1.25289,0.9327,0.84875,0.91929,0.56643,1.34769,0.67192,1.38552,0.00110861,0.00110861,0.00110861
115,2919.63,1.20753,0.72694,1.25062,0.91529,0.85664,0.92108,0.57765,1.35127,0.67559,1.38935,0.00110072,0.00110072,0.00110072
116,2944.84,1.20806,0.72279,1.25019,0.92736,0.85361,0.92001,0.55888,1.3994,0.67784,1.40749,0.00109283,0.00109283,0.00109283
117,2970.08,1.222,0.73726,1.2578,0.90787,0.86955,0.9188,0.57133,1.37329,0.67669,1.39198,0.00108494,0.00108494,0.00108494
118,2995.61,1.21327,0.72836,1.24829,0.92542,0.85364,0.92439,0.57024,1.36275,0.69296,1.38101,0.00107705,0.00107705,0.00107705
119,3020.9,1.19814,0.71801,1.23777,0.91703,0.86234,0.92672,0.56661,1.36083,0.69929,1.37624,0.00106916,0.00106916,0.00106916
120,3045.72,1.22505,0.74387,1.25492,0.91077,0.86914,0.92668,0.57503,1.34933,0.67297,1.37418,0.00106127,0.00106127,0.00106127
121,3071.22,1.19645,0.72356,1.24679,0.89559,0.86326,0.91261,0.5643,1.3476,0.68984,1.3828,0.00105339,0.00105339,0.00105339
122,3096.09,1.19391,0.71319,1.24138,0.92622,0.86886,0.92853,0.57565,1.3436,0.67903,1.3725,0.0010455,0.0010455,0.0010455
123,3120.86,1.18816,0.7083,1.23551,0.92597,0.86661,0.92655,0.57786,1.36279,0.67463,1.39109,0.00103761,0.00103761,0.00103761
124,3143.91,1.19008,0.71711,1.22613,0.90617,0.87542,0.92391,0.57039,1.35921,0.68183,1.36826,0.00102972,0.00102972,0.00102972
125,3166.98,1.18771,0.70876,1.22624,0.9207,0.86703,0.92416,0.57268,1.36739,0.68391,1.39069,0.00102183,0.00102183,0.00102183
126,3190.22,1.19125,0.72065,1.23529,0.93081,0.86344,0.93132,0.58586,1.33408,0.65209,1.36196,0.00101394,0.00101394,0.00101394
127,3213.12,1.19296,0.71876,1.22804,0.91063,0.87618,0.92504,0.57922,1.35446,0.65329,1.38141,0.00100606,0.00100606,0.00100606
128,3236.49,1.18807,0.71635,1.2353,0.92442,0.86192,0.92704,0.57044,1.35717,0.649,1.37131,0.000998167,0.000998167,0.000998167
129,3259.47,1.19216,0.71311,1.22141,0.9267,0.86451,0.92795,0.57986,1.3587,0.6527,1.38412,0.000990279,0.000990279,0.000990279
130,3282.41,1.16653,0.7024,1.21354,0.9226,0.87248,0.93128,0.58091,1.35489,0.64494,1.37796,0.00098239,0.00098239,0.00098239
131,3305.54,1.16759,0.68616,1.22074,0.92833,0.86384,0.92848,0.58199,1.35852,0.67963,1.38301,0.000974502,0.000974502,0.000974502
132,3328.46,1.16626,0.69601,1.22197,0.92892,0.86493,0.92905,0.5792,1.35076,0.66087,1.38562,0.000966614,0.000966614,0.000966614
133,3352.35,1.15593,0.69796,1.21011,0.92522,0.86675,0.92902,0.57839,1.36163,0.66053,1.39828,0.000958725,0.000958725,0.000958725
134,3376.92,1.15241,0.69162,1.20402,0.93097,0.86535,0.9262,0.57964,1.32957,0.65329,1.36453,0.000950837,0.000950837,0.000950837
135,3401.37,1.15712,0.6967,1.22808,0.92823,0.85713,0.93073,0.58286,1.32794,0.66215,1.36691,0.000942948,0.000942948,0.000942948
136,3425.98,1.16019,0.69384,1.21215,0.9272,0.86548,0.93004,0.58009,1.34382,0.65125,1.37958,0.00093506,0.00093506,0.00093506
137,3450.48,1.158,0.68817,1.22054,0.93067,0.86409,0.92961,0.57504,1.35213,0.681,1.38254,0.000927171,0.000927171,0.000927171
